numfiles,class,method,line,instruction,branch,exceptions,input
1,0.1762114537444934,0.0867244829886591,0.1340918325883787,0.0684491036426904,0.05407987769921651,1,file000001_208_27_9018789319714778235.json
2,0.1762114537444934,0.08739159439626418,0.1373425436814303,0.07095978505043386,0.05694630231224919,2,file000002_180_29_7629689733895370018.json
3,0.1894273127753304,0.09873248832555037,0.15948801300284438,0.08150905166718055,0.06822090579017771,3,file000003_183_27_11930139830029373643.json
4,0.1894273127753304,0.09873248832555037,0.15989435188947582,0.08170726335726557,0.0693674756353908,4,file000004_88_27_7177946073406993495.json
5,0.1894273127753304,0.09873248832555037,0.15989435188947582,0.08170726335726557,0.0693674756353908,5,file000005_138_29_13427259178629556762.json
6,0.1894273127753304,0.09873248832555037,0.15989435188947582,0.08170726335726557,0.0693674756353908,6,file000006_58_26_6646469017443021341.json
7,0.1894273127753304,0.09873248832555037,0.15989435188947582,0.08170726335726557,0.0693674756353908,7,file000007_159_27_3948612635540514579.json
8,0.1894273127753304,0.09873248832555037,0.16009752133279154,0.08175131039950667,0.06955857060959297,8,file000008_191_27_16228347778991344238.json
9,0.1894273127753304,0.09873248832555037,0.16009752133279154,0.08175131039950667,0.06955857060959297,9,file000009_151_29_12298176096409310733.json
10,0.1894273127753304,0.09873248832555037,0.16009752133279154,0.08175131039950667,0.06955857060959297,10,file000010_40_20_4403251151636054390.json
11,0.1894273127753304,0.09873248832555037,0.16009752133279154,0.08175131039950667,0.06955857060959297,11,file000011_98_29_4837579617450381434.json
12,0.1894273127753304,0.09873248832555037,0.16030069077610729,0.08179535744174779,0.06974966558379514,12,file000012_96_28_3059657702819908138.json
13,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,13,file000013_154_28_12730612312109795778.json
14,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,14,file000014_126_28_8844486214763309592.json
15,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,15,file000015_265_29_14444987658267695376.json
16,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,16,file000016_244_29_18321579775236717059.json
17,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,17,file000017_109_27_14820327267019794491.json
18,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,18,file000018_227_27_9164190778225125654.json
19,0.1894273127753304,0.09873248832555037,0.160503860219423,0.08194952208959168,0.06994076055799732,19,file000019_60_26_12708766794871931188.json
