numfiles,class,method,line,instruction,branch,exceptions,input
1,0.2865853658536585,0.16315205327413984,0.1590561503168014,0.14676948934697712,0.12274959083469722,0,file000001_295_29_4974809083472355309.json
2,0.2926829268292683,0.1753607103218646,0.1846187459034302,0.16837213900835435,0.14770867430441897,0,file000002_230_29_9894949325029703205.json
3,0.32926829268292684,0.2153163152053274,0.23071881144854708,0.21207177814029363,0.18494271685761046,0,file000003_80_26_17778391996501803466.json
4,0.3353658536585366,0.21642619311875694,0.231374262617435,0.21256611794947847,0.18576104746317512,0,file000004_160_28_7593687030302409630.json
5,0.3353658536585366,0.21642619311875694,0.231374262617435,0.21256611794947847,0.18576104746317512,0,file000005_85_28_4567357783879766399.json
6,0.3353658536585366,0.21642619311875694,0.231374262617435,0.21256611794947847,0.18576104746317512,0,file000006_109_27_3273702378573571608.json
7,0.3353658536585366,0.21642619311875694,0.23159274634039764,0.21266498591131544,0.18657937806873978,0,file000007_108_27_4650477552146158016.json
8,0.34146341463414637,0.21864594894561598,0.23334061612409876,0.21385140145335904,0.18821603927986907,0,file000008_195_28_15092464026014700181.json
9,0.34146341463414637,0.21864594894561598,0.23355909984706139,0.21395026941519601,0.1886252045826514,0,file000009_240_29_1693706274223540015.json
10,0.34146341463414637,0.21864594894561598,0.23355909984706139,0.21395026941519601,0.1886252045826514,0,file000010_80_26_2454786589700143090.json
11,0.34146341463414637,0.21864594894561598,0.23355909984706139,0.21395026941519601,0.1886252045826514,0,file000011_104_27_10689030135383472759.json
12,0.34146341463414637,0.21864594894561598,0.23508848590779988,0.2154332888427505,0.190671031096563,0,file000012_200_27_10991960354590751651.json
13,0.34146341463414637,0.21864594894561598,0.23596242079965044,0.21592762865193535,0.19148936170212766,0,file000013_237_29_5695829978412139707.json
14,0.34146341463414637,0.21864594894561598,0.23596242079965044,0.21592762865193535,0.19189852700490997,0,file000014_91_26_2095981020374226652.json
15,0.34146341463414637,0.21864594894561598,0.23596242079965044,0.21592762865193535,0.19189852700490997,0,file000015_138_29_11775245061898543272.json
16,0.34146341463414637,0.21864594894561598,0.23596242079965044,0.21592762865193535,0.19189852700490997,0,file000016_153_27_13802561414780215717.json
17,0.34146341463414637,0.21864594894561598,0.23596242079965044,0.21592762865193535,0.19189852700490997,0,file000017_123_27_5270025912323861927.json
18,0.34146341463414637,0.21975582685904552,0.23727332313742627,0.21676800632754956,0.19271685761047463,0,file000018_116_26_11280372363829266803.json
19,0.34146341463414637,0.21975582685904552,0.23727332313742627,0.21676800632754956,0.19271685761047463,0,file000019_42_20_1494999969701756746.json
20,0.34146341463414637,0.21975582685904552,0.23727332313742627,0.21676800632754956,0.19271685761047463,0,file000020_109_28_1103814653136506553.json
21,0.34146341463414637,0.21975582685904552,0.23792877430631418,0.21785555390775618,0.1939443535188216,0,file000021_6_4_1586084981271767371.json
22,0.34146341463414637,0.21975582685904552,0.23792877430631418,0.21785555390775618,0.1939443535188216,0,file000022_61_26_5201211870021081071.json
23,0.34146341463414637,0.21975582685904552,0.23792877430631418,0.21785555390775618,0.1939443535188216,0,file000023_73_27_15458751148895928758.json
24,0.34146341463414637,0.21975582685904552,0.23902119292112736,0.21889366750704434,0.1972176759410802,0,file000024_138_29_2220675456017882882.json
25,0.34146341463414637,0.22086570477247502,0.24011361153594057,0.21943744129714765,0.1988543371522095,0,file000025_161_27_13755226329340117265.json
