numfiles,class,method,line,instruction,branch,exceptions,input
1,0.14285714285714285,0.06968641114982578,0.05239179954441914,0.047412390148638385,0.036963696369636964,0,file000001_175_29_11041933561648748612.json
2,0.38095238095238093,0.1672473867595819,0.14533029612756265,0.13334056634479766,0.10165016501650165,0,file000002_141_27_6735899621602614783.json
3,0.38095238095238093,0.1672473867595819,0.14624145785876994,0.1336660518606922,0.10297029702970296,0,file000003_300_29_12731529637179038777.json
4,0.38095238095238093,0.1672473867595819,0.14624145785876994,0.1336660518606922,0.10297029702970296,0,file000004_38_20_6451837565991784746.json
5,0.38095238095238093,0.1672473867595819,0.14624145785876994,0.1336660518606922,0.10297029702970296,0,file000005_87_28_1545144278288272433.json
6,0.38095238095238093,0.1672473867595819,0.14624145785876994,0.1336660518606922,0.10297029702970296,0,file000006_119_27_8928098387949167883.json
7,0.38095238095238093,0.1672473867595819,0.14669703872437356,0.13388304220462188,0.10363036303630363,0,file000007_181_29_10827701843853055258.json
8,0.38095238095238093,0.1672473867595819,0.14669703872437356,0.13388304220462188,0.10363036303630363,0,file000008_268_29_16159526961169306535.json
9,0.38095238095238093,0.1672473867595819,0.14669703872437356,0.13388304220462188,0.1042904290429043,0,file000009_6_4_143947713082019641.json
10,0.38095238095238093,0.17073170731707318,0.1530751708428246,0.13811435391125096,0.1075907590759076,0,file000010_123_28_13605891779978988325.json
11,0.38095238095238093,0.17073170731707318,0.1530751708428246,0.13811435391125096,0.1075907590759076,0,file000011_154_29_2856549457144754737.json
12,0.38095238095238093,0.17073170731707318,0.1530751708428246,0.13811435391125096,0.1075907590759076,0,file000012_54_28_557674979592479852.json
13,0.38095238095238093,0.17073170731707318,0.1530751708428246,0.13811435391125096,0.1075907590759076,0,file000013_185_29_14067911384342784760.json
14,0.38095238095238093,0.17073170731707318,0.15854214123006835,0.14364760768145818,0.11617161716171617,0,file000014_120_28_18111739114829506745.json
15,0.38095238095238093,0.17073170731707318,0.15854214123006835,0.14364760768145818,0.11617161716171617,0,file000015_87_28_9315624970569378561.json
16,0.38095238095238093,0.17073170731707318,0.15854214123006835,0.14364760768145818,0.11617161716171617,0,file000016_47_21_6980296552025588325.json
17,0.42857142857142855,0.17770034843205576,0.16082004555808657,0.1471194531843333,0.1188118811881188,0,file000017_171_27_18193701476528310147.json
18,0.42857142857142855,0.17770034843205576,0.16173120728929385,0.14874688076380602,0.12013201320132014,0,file000018_178_28_7634356819333309383.json
19,0.42857142857142855,0.17770034843205576,0.16173120728929385,0.14874688076380602,0.12013201320132014,0,file000019_46_23_3121514920061045277.json
20,0.42857142857142855,0.17770034843205576,0.16173120728929385,0.14874688076380602,0.12013201320132014,0,file000020_85_28_8020691222843211069.json
21,0.42857142857142855,0.17770034843205576,0.16173120728929385,0.14874688076380602,0.12013201320132014,0,file000021_58_26_753554050563329710.json
22,0.42857142857142855,0.17770034843205576,0.16173120728929385,0.14874688076380602,0.12013201320132014,0,file000022_261_29_10554838903803133678.json
23,0.42857142857142855,0.17770034843205576,0.16264236902050114,0.14928935662363024,0.12079207920792079,0,file000023_215_27_8732643713841549387.json
24,0.42857142857142855,0.17770034843205576,0.16264236902050114,0.14928935662363024,0.12079207920792079,0,file000024_139_28_9375378100346535260.json
25,0.42857142857142855,0.17770034843205576,0.16446469248291573,0.15026581317131388,0.12277227722772277,0,file000025_61_28_1309213385836383882.json
