numfiles,class,method,line,instruction,branch,exceptions,input
1,0.17913832199546487,0.06804842259721203,0.04057681799824199,0.03758425973937173,0.018403441682600382,0,file000001_1_1_12519904672061627494.js
2,0.17913832199546487,0.06804842259721203,0.040600574917444704,0.03760135385386811,0.018483110261312937,0,file000002_1_1_17916213952482116299.js
3,0.17913832199546487,0.06804842259721203,0.040600574917444704,0.03760135385386811,0.018483110261312937,0,file000003_1_1_2792099113635765663.js
4,0.20408163265306123,0.08895818048422598,0.0566127384600765,0.051060120000683766,0.02716698534098152,0,file000004_122_25_17676269521197388900.js
5,0.20408163265306123,0.08895818048422598,0.0566127384600765,0.051071516077014684,0.027366156787762906,0,file000005_177_25_3876368674446070820.js
6,0.20408163265306123,0.08895818048422598,0.0566127384600765,0.051071516077014684,0.027366156787762906,0,file000006_20_12_12602241384054529930.js
7,0.20408163265306123,0.08895818048422598,0.0566127384600765,0.051071516077014684,0.027366156787762906,0,file000007_1_1_6381906874529056329.js
8,0.20408163265306123,0.08895818048422598,0.056660252298481935,0.051242457221978475,0.027764499681325685,0,file000008_304_27_14174865519754353530.js
9,0.20408163265306123,0.08895818048422598,0.056660252298481935,0.051242457221978475,0.027764499681325685,0,file000009_1_1_5844044962116459821.js
10,0.20408163265306123,0.08895818048422598,0.056755279975292804,0.05139630425244588,0.028003505417463354,0,file000010_127_25_1477036398623597241.js
11,0.20408163265306123,0.08895818048422598,0.056755279975292804,0.05139630425244588,0.028003505417463354,0,file000011_1_1_1804838212905169568.js
12,0.20861678004535147,0.09152604548789435,0.05841826431948305,0.05266126872517792,0.02860101975780752,0,file000012_201_24_17704441856423738737.js
13,0.20861678004535147,0.09152604548789435,0.05841826431948305,0.05266126872517792,0.02860101975780752,0,file000013_1_1_18113481925386150331.js
14,0.20861678004535147,0.09152604548789435,0.05841826431948305,0.05266126872517792,0.02860101975780752,0,file000014_1_1_815378146055346000.js
15,0.20861678004535147,0.09280997798972854,0.059249756491578175,0.053413409763018595,0.02895952836201402,0,file000015_286_26_9302498044746812176.js
16,0.20861678004535147,0.09280997798972854,0.059249756491578175,0.053413409763018595,0.02895952836201402,0,file000016_1_1_5061696783328758098.js
17,0.22675736961451248,0.09941305942773294,0.0640961680089326,0.057527393318480446,0.03142925430210325,0,file000017_373_26_1131152875588794992.js
18,0.22675736961451248,0.09941305942773294,0.0640961680089326,0.057527393318480446,0.03142925430210325,0,file000018_120_24_17324231207795842711.js
19,0.22675736961451248,0.09941305942773294,0.0640961680089326,0.057527393318480446,0.03142925430210325,0,file000019_273_27_10954870076937984434.js
20,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.032823454429572976,0,file000020_197_27_3869924258538964155.js
21,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.032823454429572976,0,file000021_243_25_11962203052529280563.js
22,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.032823454429572976,0,file000022_1_1_15001815923805518883.js
23,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.032823454429572976,0,file000023_376_27_5583286001353724683.js
24,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.032823454429572976,0,file000024_189_24_3085903600616500972.js
25,0.23129251700680273,0.10216434336023478,0.06668567220202884,0.05965845959236235,0.03290312300828553,0,file000025_141_23_6199633648766001177.js
26,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000026_125_19_10398585297715589694.js
27,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000027_1_1_16481016346017999401.js
28,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000028_141_25_5691674942018963096.js
29,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000029_20_12_12097267886672265354.js
30,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000030_266_25_12217774409044794334.js
31,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000031_1_1_10879719579362320801.js
32,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000032_77_27_7546262699411958323.js
33,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000033_1_1_3394457513617323864.js
34,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000034_1_1_4127249792860501627.js
35,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000035_1_1_1633390743668920421.js
36,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000036_174_24_7998679704736753212.js
37,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000037_1_1_12533867278464186359.js
38,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000038_1_1_15113325657902623217.js
39,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.032982791586998086,0,file000039_1_1_1276504376130292536.js
40,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000040_112_25_7266196923577205008.js
41,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000041_1_1_811527427721777715.js
42,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000042_1_1_9886885558116748381.js
43,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000043_1_1_13784279127401416085.js
44,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000044_1_1_4943202290017805990.js
45,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000045_87_26_3402254934532936448.js
46,0.23129251700680273,0.10234776228906824,0.06673318604043428,0.05970974193585148,0.033022625876354364,0,file000046_1_1_1938926021819537831.js
47,0.23356009070294784,0.10344827586206896,0.06751716437412396,0.06030233790505929,0.033420968769917146,0,file000047_148_22_15151023709638548408.js
48,0.23356009070294784,0.10344827586206896,0.06751716437412396,0.06030233790505929,0.033420968769917146,0,file000048_217_23_1208556759558527844.js
49,0.23356009070294784,0.10344827586206896,0.06751716437412396,0.06030233790505929,0.033420968769917146,0,file000049_1_1_4012373009596689576.js
50,0.23356009070294784,0.10344827586206896,0.06754092129332669,0.060330828095886586,0.033460803059273424,0,file000050_82_23_16689556317990520671.js
51,0.23356009070294784,0.10344827586206896,0.06754092129332669,0.060330828095886586,0.033460803059273424,0,file000051_133_19_8925571757461621441.js
52,0.23356009070294784,0.10381511371973588,0.06763594897013755,0.06043339278286486,0.0335006373486297,0,file000052_204_25_10572262878480818479.js
53,0.23582766439909297,0.1045487894350697,0.06849119806143539,0.061253910278691044,0.03413798597833015,0,file000053_115_25_10677666514140026228.js
54,0.23582766439909297,0.1045487894350697,0.06849119806143539,0.061253910278691044,0.03413798597833015,0,file000054_1_1_8501559411113432980.js
55,0.23582766439909297,0.1045487894350697,0.06849119806143539,0.061253910278691044,0.03413798597833015,0,file000055_1_1_15204537886199103656.js
56,0.23582766439909297,0.1045487894350697,0.06849119806143539,0.061253910278691044,0.03413798597833015,0,file000056_1_1_5825884169638393216.js
57,0.23582766439909297,0.1045487894350697,0.06849119806143539,0.061253910278691044,0.03413798597833015,0,file000057_1_1_10924707241462339477.js
58,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000058_352_24_15951990627474097887.js
59,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000059_1_1_8782573651821729662.js
60,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000060_150_25_1404608440636710654.js
61,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000061_1_1_11525126558702997780.js
62,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000062_1_1_16606201724016712414.js
63,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000063_65_21_3598571583601896693.js
64,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000064_1_1_5398613524482697154.js
65,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000065_392_25_264532398162144737.js
66,0.24036281179138322,0.10638297872340426,0.06982158553678759,0.06235932968279022,0.034496494582536646,0,file000066_1_1_11831266683950249995.js
67,0.24036281179138322,0.10638297872340426,0.06986909937519302,0.06241061202627935,0.034536328871892924,0,file000067_339_27_3829746630092710787.js
68,0.24036281179138322,0.10638297872340426,0.06986909937519302,0.06241061202627935,0.034536328871892924,0,file000068_386_27_5044166155770628883.js
69,0.24036281179138322,0.10711665443873808,0.07046302235526097,0.06292913349933618,0.035572020395156154,0,file000069_238_24_4758669544779487210.js
70,0.24036281179138322,0.10711665443873808,0.07046302235526097,0.06292913349933618,0.035572020395156154,0,file000070_1_1_14132063207703635926.js
71,0.24036281179138322,0.10711665443873808,0.07046302235526097,0.06292913349933618,0.035572020395156154,0,file000071_26_14_7580915182104543792.js
72,0.24036281179138322,0.10711665443873808,0.07046302235526097,0.06292913349933618,0.035572020395156154,0,file000072_1_1_13615992557708962548.js
73,0.24036281179138322,0.10748349229640498,0.07138954220416696,0.06390919606379523,0.036767049075844487,0,file000073_37_24_17796401615766455508.js
74,0.24036281179138322,0.10748349229640498,0.07138954220416696,0.06390919606379523,0.036767049075844487,0,file000074_170_25_12331400579892040387.js
75,0.24036281179138322,0.10748349229640498,0.07141329912336968,0.06393768625462254,0.036806883365200764,0,file000075_259_27_5423046537809217254.js
76,0.24036281179138322,0.10748349229640498,0.07141329912336968,0.06393768625462254,0.036806883365200764,0,file000076_1_1_14433671545387009267.js
77,0.24036281179138322,0.10748349229640498,0.07141329912336968,0.06393768625462254,0.036806883365200764,0,file000077_1_1_66462260927226844.js
78,0.24036281179138322,0.10748349229640498,0.07141329912336968,0.06393768625462254,0.036806883365200764,0,file000078_1_1_4251861389787410127.js
79,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000079_272_27_10494488304711824455.js
80,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000080_1_1_14731466081820955745.js
81,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000081_100_27_14899329948967838864.js
82,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000082_1_1_16785300563121190657.js
83,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000083_140_24_17175647961362515853.js
84,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000084_98_24_2460447155136463412.js
85,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000085_123_26_13481869156886252965.js
86,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000086_142_23_11963953746584509735.js
87,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000087_124_27_12467769473336203801.js
88,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000088_150_25_579699996068335630.js
89,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000089_215_24_9532115089299836755.js
90,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000090_1_1_7361859927373083565.js
91,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000091_162_27_11743564495613861203.js
92,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000092_1_1_9150878999804491200.js
93,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000093_197_27_3744846610654470599.js
94,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000094_1_1_6420022116709672928.js
95,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000095_268_27_337510312600214632.js
96,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000096_1_1_16878787163604209687.js
97,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000097_1_1_6834881602816066957.js
98,0.2471655328798186,0.10986793837123991,0.07352766493241157,0.06579524669656238,0.037523900573613767,0,file000098_263_25_17586724300262728394.js
99,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000099_262_25_2645097984180867188.js
100,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000100_363_25_9426091385472777542.js
101,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000001_1_1_3381546931832881698.js
102,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000002_1_1_3057109450040025196.js
103,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000003_1_1_643109296351412034.js
104,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000004_1_1_8773786253330033060.js
105,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.0660459603758426,0.03776290630975143,0,file000005_1_1_11651019071952036241.js
106,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.06606305449033897,0.03784257488846399,0,file000006_343_25_11307019291581915711.js
107,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.06606305449033897,0.03784257488846399,0,file000007_1_1_6162038455277080407.js
108,0.2471655328798186,0.11023477622890682,0.07381274796284418,0.06606305449033897,0.03784257488846399,0,file000008_1_1_17449399556123126439.js
109,0.2585034013605442,0.13151137197358767,0.08944480079823248,0.07960729120963653,0.04736297004461441,0,file000009_63_25_1876948870189143772.js
110,0.2585034013605442,0.13151137197358767,0.08944480079823248,0.07960729120963653,0.04736297004461441,0,file000010_1_1_11806888311054843857.js
111,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000011_307_25_16760087529523749286.js
112,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000012_1_1_10662856166582447013.js
113,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000013_1_1_17116454902507200483.js
114,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000014_1_1_8847468446126633451.js
115,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000015_1_1_10604192456681571349.js
116,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000016_1_1_6507455552573306379.js
117,0.2585034013605442,0.13151137197358767,0.08963485615185422,0.07974404412560755,0.04760197578075207,0,file000017_1_1_5523284284078035777.js
118,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04776131293817718,0,file000018_231_27_11408089568818369374.js
119,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04776131293817718,0,file000019_1_1_12265283675295180712.js
120,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000020_249_27_11841128594318709577.js
121,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000021_70_16_7877739448831994131.js
122,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000022_139_22_10853969622011720315.js
123,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000023_1_1_7361816168030282418.js
124,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000024_294_25_15342090101373746227.js
125,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000025_1_1_3821602816235450600.js
126,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000026_1_1_17329002941762060168.js
127,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000027_379_27_3332424187425412352.js
128,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000028_1_1_17028500198720072124.js
129,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000029_200_24_4810387511720787249.js
130,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000030_212_25_10388751452051916449.js
131,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000031_350_26_14016378892262541748.js
132,0.26077097505668934,0.13242846661775495,0.09049010524315207,0.08038222440013904,0.04784098151688974,0,file000032_1_1_4294408938832454820.js
133,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000033_343_26_16826027035591409201.js
134,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000034_1_1_12032021195073603923.js
135,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000035_561_27_3610846435032869914.js
136,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000036_1_1_5138539116088268124.js
137,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000037_26_14_10789036288241145803.js
138,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000038_284_27_18154628881262309842.js
139,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000039_1_1_6022015374821672497.js
140,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000040_1_1_1954401527416518674.js
141,0.26303854875283444,0.13352898019075568,0.0914641389304635,0.08131100462110895,0.04855799872530274,0,file000041_1_1_16738968321314192549.js
142,0.2653061224489796,0.13444607483492296,0.09222436034495046,0.08196627901013681,0.048916507329509244,0,file000042_222_24_1569490645687277098.js
143,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000043_179_26_5989046503533440128.js
144,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000044_1_1_4060279116054567255.js
145,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000045_85_22_15289150884362697177.js
146,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000046_1_1_6967540663993583581.js
147,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000047_251_25_6056091899627597734.js
148,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000048_261_25_330361798885341202.js
149,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000049_1_1_11455692035112286773.js
150,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000050_1_1_6304546269373933850.js
151,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000051_218_25_14457178099902021242.js
152,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000052_1_1_18292938969359477398.js
153,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000053_1_1_1216591455368989573.js
154,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000054_1_1_1071995329622195256.js
155,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000055_250_26_1379701032131102400.js
156,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000056_309_26_6110138577966105936.js
157,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000057_164_25_2438154233635782554.js
158,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000058_431_26_12035086978028344317.js
159,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000059_435_25_16907464112082701395.js
160,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000060_203_24_1053109040677309796.js
161,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000061_1_1_7406286239736342014.js
162,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000062_1_1_5308083365744398952.js
163,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000063_208_24_2219683698402687232.js
164,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000064_291_25_8575016710542373416.js
165,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000065_1_1_3948481396220624176.js
166,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000066_26_14_11334958263759730857.js
167,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000067_152_27_7136034613706271021.js
168,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000068_1_1_6014057117369680769.js
169,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000069_1_1_36116768683379050.js
170,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000070_1_1_2157308765554695283.js
171,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000071_361_26_16940214951006655619.js
172,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000072_1_1_14366254438985035250.js
173,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000073_1_1_5571899984674248824.js
174,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000074_1_1_6156402646283455195.js
175,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000075_1_1_2219525728597943046.js
176,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000076_242_27_8513133251925364678.js
177,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000077_1_1_17719141241440978013.js
178,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000078_230_25_1867355416751172966.js
179,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000079_218_27_5574349824733328033.js
180,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000080_1_1_6714248024901717741.js
181,0.2653061224489796,0.13481291269258988,0.09281828332501842,0.08243921617786996,0.049553855959209685,0,file000081_1_1_9715600030223373594.js
182,0.2653061224489796,0.13701393983859134,0.09502767681087117,0.08448481187926997,0.05142606755895475,1,file000082_67_28_7686605534223174760.js
183,0.2653061224489796,0.13701393983859134,0.09517021832608748,0.08461586675707554,0.05158540471637986,1,file000083_1_1_15047941489095409670.js
184,0.2653061224489796,0.13701393983859134,0.09517021832608748,0.08461586675707554,0.05162523900573614,1,file000084_1_1_18396668267906964089.js
185,0.2653061224489796,0.13701393983859134,0.09519397524529019,0.08463865890973737,0.05170490758444869,1,file000085_382_27_12349761277559677477.js
186,0.2653061224489796,0.13701393983859134,0.09519397524529019,0.08463865890973737,0.05170490758444869,1,file000086_1_1_6351005115811962598.js
187,0.2653061224489796,0.13701393983859134,0.09519397524529019,0.08463865890973737,0.05170490758444869,1,file000087_190_27_3375816315166780370.js
188,0.2653061224489796,0.13701393983859134,0.09519397524529019,0.08463865890973737,0.05170490758444869,1,file000088_1_1_4027597219466257568.js
189,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000089_93_25_10699212295886123289.js
190,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000090_407_25_4858855070216676224.js
191,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000091_1_1_17739794968149562339.js
192,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000092_1_1_5493239803526025228.js
193,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000093_171_27_11879844174041467823.js
194,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000094_1_1_16563701107877970526.js
195,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000095_1_1_16147856060630814651.js
196,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000096_1_1_11590995555504034771.js
197,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000097_1_1_6463681798838530518.js
198,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000098_1_1_13704343198425464459.js
199,0.2653061224489796,0.13701393983859134,0.09540778751811466,0.08482099613103208,0.05194391332058636,1,file000099_1_1_10801857088681769195.js
200,0.2698412698412698,0.13848129126925898,0.09621552277100706,0.08541359210023988,0.052262587635436585,1,file000100_335_25_13597843417525536608.js
